thresh_type,thresh,block,plot,year,max_gi,max_gi_doy,greenup_doy,senesc_doy,gs_length,gs_integral
global,gi3405,5,8,2020,0.342685332,168.5550849,121.5484413,275.998688,154.4502467,34.06337982
global,gi3405,5,9,2020,0.341467494,161.5877648,127.5053341,188.9372654,61.43193129,28.88165799
global,gi3405,5,10,2020,0.343030115,166.810183,128.306786,270.7803451,142.4735591,31.58855484
global,gi3405,5,11,2020,0.342431498,163.8254503,129.095242,271.627803,142.5325609,32.22670897
global,gi3405,5,12,2020,0.347719979,166.4081982,117.408001,222.5773297,105.1693287,35.55459475
global,gi3405,6,1,2020,0.3430168,184.492674,138.6606564,240.1974597,101.5368033,29.66530405
global,gi3405,6,2,2020,0.347459962,183.8672633,122.1064558,304,181.8935442,44.52130171
global,gi3405,6,3,2020,0.342795715,199.5761309,132.0846806,304,171.9153194,35.71192324
global,gi3405,6,4,2020,0.347712774,170.7417276,99.54752799,297.1831681,197.6356402,44.3703128
global,gi3405,6,5,2020,0.349444054,175.7125806,111.3585146,291.786018,180.4275034,45.62049678
global,gi3405,6,6,2020,0.351360885,168.5396156,104.612805,294.161064,189.5482591,49.8516821
global,gi3405,6,7,2020,0.344276649,164.9110659,114.8231926,273.3361393,158.5129467,34.85725535
global,gi3405,6,8,2020,0.345346338,164.8947455,112.3267725,296.8093353,184.4825628,39.45432761
global,gi3405,6,9,2020,0.343203663,175.6168972,122.2577994,284.1079544,161.850155,35.49093034
global,gi3405,6,10,2020,0.342020668,185.4648036,133.2081138,274.2614016,141.0532878,32.13862776
global,gi3405,6,11,2020,0.346998032,167.5199053,99.81260922,304,204.1873908,45.92720546
global,gi3405,6,12,2020,0.34656555,175.9799539,118.7862128,288.723039,169.9368262,40.47621219
global,gi3410,1,1,2020,0.347916708,175.9673768,121.3842959,268.6342736,147.2499777,38.90636284
global,gi3410,1,2,2020,0.353750219,177.3383173,111.6633348,291.5717669,179.9084321,52.24078772
global,gi3410,1,3,2020,0.342950187,163.6044923,130.2138376,193.7157773,63.50193966,28.07972029
global,gi3410,1,4,2020,0.34471279,165.887696,126.1569412,210.6152434,84.45830216,32.15091253
global,gi3410,1,5,2020,0.354170208,175.0958965,112.9542147,276.894194,163.9399793,50.09187396
global,gi3410,1,6,2020,0.342444436,166.8118908,139.4427478,207.5414388,68.09869101,29.43929831
global,gi3410,1,7,2020,0.343446543,171.910903,127.6114922,207.591905,79.98041283,30.67464205
global,gi3410,1,8,2020,0.350509215,166.5046668,114.9324736,220.8974591,105.9649855,38.55305969
